チェリーボンボン,牝3,1:53.2,38.7,3,5.2,51.0
ロッタラブ,牝3,1:53.4,38.3,8,21.6,54.0
タマモエルドラド,牝3,1:53.6,38.2,5,10.7,54.0
ヒデノエーデル,牝3,1:53.7,39.0,15,157.5,54.0
レッドラトナ,牝3,1:53.7,39.3,2,3.7,54.0
インハーフェイバー,牝3,1:53.9,38.5,1,3.5,54.0
マダムストーリー,牝3,1:54.0,38.7,14,140.0,54.0
ナリタアマランサス,牝3,1:54.2,38.2,10,44.7,51.0
アビイロード,牝3,1:54.3,39.4,7,21.4,54.0
ミリフィカ,牝3,1:54.3,38.0,6,18.7,54.0
リュウビ,牝3,1:54.8,38.5,16,181.2,53.0
エフヨンエフ,牝3,1:55.4,39.3,12,66.4,51.0
サンチャゴボラーレ,牝3,1:55.7,40.6,4,6.3,54.0
ナムラハレルヤ,牝3,1:57.1,42.1,9,30.1,54.0
ホッコーペネロープ,牝3,1:57.2,41.4,13,103.3,54.0
プラムステッド,牝3,2:01.8,45.8,11,54.3,54.0
