カーンテソーロ,牡3,1:12.1,37.9,2,2.9,56.0
ロードソレイユ,牡3,1:12.3,37.4,4,15.6,56.0
リトルモンスター,牝3,1:12.3,38.2,1,2.0,54.0
インターロード,牡3,1:12.4,38.5,3,5.5,56.0
モンサンスペラーレ,牡3,1:13.4,39.3,11,155.0,55.0
スリーヴリーグ,牡3,1:13.4,39.1,6,22.2,56.0
ベリッシモファルコ,牝3,1:13.4,39.3,10,148.8,51.0
タイセイフレイム,牡3,1:13.8,39.0,8,53.3,56.0
アポロノワキザシ,牝3,1:14.1,39.1,5,22.1,54.0
ラブサンキュー,牝3,1:14.2,40.4,7,31.7,54.0
ゴウユウ,牡3,1:14.6,38.2,15,323.1,56.0
ペイシャエスティマ,牝3,1:14.7,40.6,13,248.0,54.0
クリスタルニキータ,牝3,1:14.8,39.9,14,278.0,52.0
カシマヌアージ,牡3,1:14.9,38.6,9,83.3,56.0
ヴァルス,牡3,1:15.2,41.4,12,235.1,56.0
コードブレイカー,牝3,1:17.7,41.8,16,635.3,51.0
