ナルハヤ,牝3,2:05.8,37.0,3,5.0,54.0
メイショウサチシオ,牝3,2:06.4,37.2,5,16.3,54.0
レッドラフィーネ,牝3,2:06.4,36.7,8,23.2,54.0
ピュアラブ,牝3,2:07.0,37.0,10,48.1,51.0
エアブライス,牝3,2:07.2,36.8,2,4.6,54.0
キョウエイレガシー,牝3,2:07.3,37.1,6,17.6,51.0
ナニアヒアヒ,牝3,2:07.5,37.1,1,2.6,54.0
ウインプルミエ,牝3,2:07.5,37.9,4,7.8,52.0
ベアスピード,牝3,2:07.6,38.1,9,38.7,54.0
レッドラペル,牝3,2:07.6,37.2,14,70.4,54.0
メロディーオブラブ,牝3,2:07.8,37.8,11,55.2,54.0
ジャスティンラヴ,牝3,2:07.9,38.7,7,20.5,54.0
オウケンサクラブ,牝3,2:08.0,37.3,15,187.9,54.0
ブルドッグギャル,牝3,2:09.1,40.3,12,56.7,51.0
クリスティヴィッツ,牝3,2:09.3,38.6,16,199.4,54.0
マダムサッシュ,牝3,2:11.1,40.3,13,66.7,54.0
