フォッサマグナ,牡3,1:34.5,35.1,1,1.5,56.0
タニノミッション,牝3,1:34.9,35.6,2,3.8,54.0
ギルマ,牡3,1:35.0,35.4,4,12.1,56.0
ブルーアガヴェ,牡3,1:35.2,36.0,3,9.1,56.0
ケンデューク,牡3,1:35.3,35.5,10,146.3,56.0
スカイシアター,牝3,1:35.3,35.4,7,39.7,54.0
スペキュラース,牝3,1:35.3,35.7,6,36.2,54.0
ガイセン,牡3,1:35.3,34.9,9,72.5,56.0
ミヤコローズ,牝3,1:35.3,35.8,5,15.6,54.0
サルウェーテ,牡3,1:35.4,35.7,11,156.3,54.0
シャドウセッション,牡3,1:35.5,35.4,8,59.8,56.0
マンゴープリン,牝3,1:37.2,37.4,15,719.2,54.0
ブルーアトール,牝3,1:37.2,36.6,14,654.7,54.0
ジユウノメガミ,牝3,1:37.3,36.5,13,540.5,51.0
エコロシンフォニー,牝3,1:37.9,37.1,12,390.5,52.0
